Political Geography,Year,Fossil Fuel Energy and Cement Manufacture,Fossil Fuel Energy (Supplied),Fossil Fuel Energy (Consumed),Stat Difference (Supplied - Consumed),"Electric, CHP, Heat Plants",Energy Industries' Own Use,"Manufact, Constr, Non-Fuel Industry",Transport,Road Transport,Rail Transport,Domestic Aviation,Domestic Navigation,Other Transport,Household,"Agriculture, Forestry, Fishing",Commerce and Public Services,NES Other Consumption,Bunkered,Bunkered (Marine),Bunkered (Aviation),Flaring of Natural Gas,Manufacture of Cement,Per Capita Total Emissions,REGION
AFGHANISTAN,2020,3236,3228.0,3200.0,28.0,46.0,,1217.0,1335.0,1291.0,,44.0,,,566.0,,18.0,18.0,10.0,,10.0,,8.0,,ASIA PACIFIC
ALBANIA,2020,1294,1009.0,1089.0,-80.0,3.0,37.0,258.0,588.0,558.0,2.0,,28.0,,84.0,77.0,42.0,,40.0,26.0,14.0,,285.0,,EUROPE
ALGERIA,2020,43211,40815.0,36969.0,3846.0,10241.0,2540.0,3495.0,10613.0,10094.0,15.0,39.0,144.0,321.0,6981.0,42.0,176.0,1206.0,259.0,81.0,178.0,1675.0,2396.0,1.0,AFRICA
ANDORRA,2020,102,,105.0,,,,,67.0,67.0,,,,,38.0,,,,,,,,,1.0,EUROPE
ANGOLA,2020,4810,4506.0,5047.0,-541.0,484.0,305.0,892.0,1367.0,1336.0,,23.0,8.0,,442.0,8.0,370.0,3.0,221.0,156.0,65.0,1176.0,304.0,,AFRICA
ANGUILLA,2020,39,,37.0,,18.0,,,12.0,6.0,,,6.0,,7.0,,,,6.0,4.0,2.0,,,2.0,SOUTH AND CENTRAL AMERICA
ANTIGUA & BARBUDA,2020,169,,170.0,,80.0,,,62.0,39.0,,2.0,21.0,,28.0,,,,100.0,61.0,39.0,,,2.0,SOUTH AND CENTRAL AMERICA
ARGENTINA,2020,45636,44624.0,40919.0,3705.0,8926.0,3924.0,4545.0,13817.0,12591.0,,493.0,313.0,420.0,5474.0,2861.0,794.0,,1041.0,112.0,929.0,578.0,1012.0,1.0,SOUTH AND CENTRAL AMERICA
ARMENIA,2020,1826,1742.0,1689.0,53.0,379.0,3.0,119.0,607.0,607.0,,,,,382.0,54.0,34.0,111.0,32.0,,32.0,,84.0,1.0,COMMONWEALTH OF INDEPENDENT STATES
ARUBA,2020,243,,243.0,,179.0,,,54.0,54.0,,,,,3.0,,,7.0,78.0,10.0,68.0,,,2.0,SOUTH AND CENTRAL AMERICA
AUSTRALIA,2020,101037,100292.0,98636.0,1656.0,46286.0,10052.0,10187.0,24903.0,21113.0,920.0,1870.0,577.0,423.0,2609.0,1471.0,1329.0,26.0,3689.0,576.0,3113.0,1773.0,745.0,4.0,ASIA PACIFIC
AUSTRIA,2020,15387,14887.0,13261.0,1626.0,1874.0,679.0,2292.0,6177.0,5977.0,24.0,25.0,24.0,127.0,1678.0,198.0,363.0,,262.0,11.0,251.0,,500.0,2.0,EUROPE
AZERBAIJAN,2020,10527,10148.0,9162.0,986.0,3212.0,438.0,590.0,1834.0,1687.0,3.0,111.0,33.0,,1993.0,345.0,121.0,,315.0,28.0,287.0,629.0,379.0,1.0,COMMONWEALTH OF INDEPENDENT STATES
BAHAMAS,2020,596,,594.0,,338.0,,73.0,111.0,111.0,,,,,9.0,,54.0,9.0,349.0,129.0,220.0,,,1.0,SOUTH AND CENTRAL AMERICA
BAHRAIN,2020,10102,10027.0,8622.0,1405.0,6198.0,882.0,575.0,909.0,874.0,,35.0,,,58.0,,,,245.0,,245.0,,75.0,7.0,MIDDLE EAST
BANGLADESH,2020,28489,25163.0,22299.0,2864.0,12233.0,69.0,4307.0,2729.0,2062.0,278.0,,386.0,3.0,2081.0,775.0,101.0,4.0,422.0,127.0,295.0,,3326.0,,ASIA PACIFIC
BARBADOS,2020,333,315.0,316.0,-1.0,129.0,2.0,74.0,90.0,90.0,,,,,7.0,,11.0,,,,,3.0,18.0,1.0,SOUTH AND CENTRAL AMERICA
BELARUS,2020,15701,15076.0,13980.0,1096.0,7363.0,789.0,1212.0,2857.0,2527.0,127.0,13.0,1.0,189.0,1063.0,604.0,92.0,,91.0,,91.0,,625.0,2.0,COMMONWEALTH OF INDEPENDENT STATES
BELGIUM,2020,24232,23548.0,20797.0,2751.0,2772.0,1292.0,4258.0,6249.0,6064.0,17.0,3.0,150.0,15.0,4024.0,432.0,1742.0,28.0,6547.0,5574.0,973.0,,684.0,2.0,EUROPE
BELIZE,2020,167,,166.0,,13.0,,14.0,118.0,110.0,,,,8.0,18.0,,3.0,,21.0,,21.0,,,,SOUTH AND CENTRAL AMERICA
BENIN,2020,2279,2013.0,2028.0,-15.0,135.0,,141.0,1643.0,1643.0,,,,,39.0,16.0,54.0,,15.0,1.0,14.0,,266.0,,AFRICA
BERMUDA,2020,125,,127.0,,90.0,,1.0,18.0,16.0,,,2.0,,18.0,,,,18.0,6.0,12.0,,,2.0,SOUTH AND CENTRAL AMERICA
BHUTAN,2020,249,163.0,165.0,-2.0,,,55.0,102.0,22.0,,,,80.0,8.0,,,,1.0,,1.0,,86.0,,ASIA PACIFIC
"BONAIRE, SAINT EUSTATIUS, AND SABA",2020,31,,32.0,,21.0,,3.0,7.0,7.0,,,,,1.0,,,,32.0,30.0,2.0,,,1.0,SOUTH AND CENTRAL AMERICA
BOSNIA & HERZEGOVINA,2020,5695,5568.0,5114.0,454.0,3507.0,111.0,313.0,971.0,971.0,,,,,113.0,34.0,65.0,,3.0,,3.0,,127.0,2.0,EUROPE
BOTSWANA,2020,1515,1515.0,1516.0,-1.0,770.0,,151.0,565.0,560.0,5.0,,,,8.0,8.0,13.0,1.0,4.0,,4.0,,,1.0,AFRICA
BRAZIL,2020,112682,106518.0,117762.0,-11244.0,12731.0,8037.0,24520.0,59898.0,56472.0,908.0,1587.0,931.0,,5248.0,6047.0,112.0,443.0,4114.0,3280.0,834.0,726.0,6164.0,1.0,SOUTH AND CENTRAL AMERICA
BRITISH VIRGIN ISLANDS,2020,44,,44.0,,28.0,,,13.0,9.0,,,,4.0,3.0,,,,,,,,,1.0,SOUTH AND CENTRAL AMERICA
BRUNEI (DARUSSALAM),2020,3124,3098.0,2579.0,519.0,1334.0,641.0,98.0,322.0,322.0,,,,,25.0,,,13.0,37.0,5.0,32.0,146.0,26.0,7.0,ASIA PACIFIC
BULGARIA,2020,9536,9252.0,8898.0,354.0,4558.0,299.0,1073.0,2595.0,2557.0,9.0,7.0,,22.0,175.0,113.0,85.0,,188.0,73.0,115.0,,284.0,1.0,EUROPE
BURKINA FASO,2020,1430,1185.0,1185.0,,103.0,,327.0,653.0,653.0,,,,,102.0,,,,15.0,,15.0,,245.0,,AFRICA
BURUNDI,2020,223,200.0,200.0,,18.0,,5.0,172.0,172.0,,,,,5.0,,,,2.0,,2.0,,23.0,,AFRICA
CAMBODIA,2020,4573,3736.0,3569.0,167.0,1168.0,,277.0,1806.0,1516.0,193.0,15.0,54.0,28.0,149.0,,74.0,95.0,36.0,,36.0,,837.0,,ASIA PACIFIC
CANADA,2020,150623,148833.0,137745.0,11088.0,20588.0,31201.0,16259.0,44706.0,37179.0,1721.0,2678.0,998.0,2130.0,9852.0,4442.0,9538.0,,678.0,402.0,276.0,1159.0,1790.0,4.0,NORTH AMERICA
CAPE VERDE,2020,141,,142.0,,63.0,,,62.0,46.0,,12.0,4.0,,6.0,,4.0,7.0,95.0,57.0,38.0,,,,AFRICA
CAYMAN ISLANDS,2020,170,,170.0,,119.0,,,48.0,47.0,,1.0,,,3.0,,,,13.0,,13.0,,,3.0,SOUTH AND CENTRAL AMERICA
CENTRAL AFRICAN REPUBLIC,2020,65,,65.0,,,,3.0,59.0,59.0,,,,,3.0,,,,15.0,,15.0,,,,AFRICA
CHAD,2020,548,504.0,469.0,35.0,52.0,,5.0,380.0,372.0,,8.0,,,32.0,,,,20.0,,20.0,,44.0,,AFRICA
CHILE,2020,22077,21638.0,21900.0,-262.0,9113.0,414.0,3660.0,6724.0,6155.0,33.0,264.0,272.0,,1177.0,337.0,472.0,,357.0,27.0,330.0,3.0,439.0,1.0,SOUTH AND CENTRAL AMERICA
CHINA (MAINLAND),2020,2915650,2696253.0,2312873.0,383380.0,1325686.0,144169.0,451903.0,178743.0,118355.0,3263.0,24124.0,20641.0,12360.0,122376.0,26467.0,225.0,63304.0,13570.0,9491.0,4079.0,,219397.0,2.0,ASIA PACIFIC
COLOMBIA,2020,24291,23076.0,20384.0,2692.0,4803.0,1015.0,4122.0,8002.0,7867.0,,8.0,13.0,114.0,1192.0,52.0,228.0,808.0,605.0,101.0,504.0,162.0,1215.0,,SOUTH AND CENTRAL AMERICA
COMOROS,2020,104,,106.0,,32.0,,,60.0,49.0,,7.0,4.0,,13.0,,,1.0,2.0,,2.0,,,,AFRICA
